"","year","programTitle","Program Code","PLU","Sum Credits","location","sumFTE","abo","imm","cluster","studentType"
"220","2011-12","Applied Business Technology","ABT","Credits",310.714,"KI",0.404575521,"Y","00","academic","fn"
"221","2011-12","Applied Business Technology","ABT","Credits",131.143,"KI",0.170759115,"N","00","academic",NA
"222","2011-12","Applied Business Technology","ABT","Credits",144.001,"HO",0.187501302,NA,"00","academic",NA
"223","2011-12","Applied Business Technology","ABT","Credits",389.286,"HA",0.506882813,"Y","00","academic","fn"
"224","2011-12","Applied Business Technology","ABT","Credits",13.5,"SM",0.5625,NA,"00","academic",NA
"225","2011-12","Applied Business Technology","ABT","Credits",15.5,"SM",0.645833333,"Y","00","academic","fn"
"226","2011-12","Applied Business Technology","ABT","Credits",35,"SM",1.458333333,"N","00","academic",NA
"227","2011-12","Applied Business Technology","ABT","Credits",11,"ON",0.458333333,"N","01","academic",NA
"228","2011-12","Applied Business Technology","ABT","Credits",117,"ON",4.875,NA,"00","academic",NA
"229","2011-12","Applied Business Technology","ABT","Credits",238.5,"ON",9.9375,"Y","00","academic","fn"
"230","2011-12","Applied Business Technology","ABT","Credits",263.5,"ON",10.97916667,"N","00","academic",NA
"231","2012-13","Applied Business Technology","ABT","Credits",24,"TE",0.04,"N","00","academic",NA
"232","2012-13","Applied Business Technology","ABT","Credits",51.429,"HO",0.066964844,NA,"00","academic",NA
"233","2012-13","Applied Business Technology","ABT","Credits",13,"SM",0.541666667,"N","01","academic",NA
"234","2012-13","Applied Business Technology","ABT","Credits",148.5,"SM",6.1875,NA,"00","academic",NA
"235","2012-13","Applied Business Technology","ABT","Credits",219,"SM",9.125,"Y","00","academic","fn"
"236","2012-13","Applied Business Technology","ABT","Credits",314.5,"SM",13.10416667,"N","00","academic",NA
"237","2013-14","Applied Business Technology","ABT","Credits",287,"SM",11.95833333,"N","00","academic",NA
"238","2013-14","Applied Business Technology","ABT","Credits",205,"SM",8.541666667,"Y","00","academic","fn"
"239","2013-14","Applied Business Technology","ABT","Credits",185,"SM",7.708333333,NA,"00","academic",NA
